자료실	등록번호	서명	저자	출판사	출판년	청구기호	대출가능여부
보존서고	EM2	學校圖書館 經營論 : 敎育資料室	金基泰 ; 李萬洙 共著	敎學硏究社	1991	027 김292ㅎ	
보존서고	EM13	열린교육과 학교도서관	허병두 지음	고려원미디어	1993	027 허137ㅇ	
보존서고	EM14	열린교육과 학교도서관	허병두 지음	고려원미디어	1993	027 허137ㅇ	
보존서고	EM5845	열린교육과 학교도서관	허병두 지음	고려원미디어	1993	027 허137ㅇ	
종합자료실	EM15	손에는 책을 마음에는 꿈을	한국청소년개발원 편	서원	1993	029 한625ㅅ	
보존서고	EM19	니체는 누구인가 : 그리스도교도를 위하여	오이겐 비저 저 ; 정영도 옮김	분도출판사	1993	165.77 니993ㄴ	
보존서고	EM21	논리적으로 생각하기	John Wilson 지음 ; 윤희원 옮김	책과사람들	1993	170.4 윌374ㄴ	
보존서고	EM23	"논리속의 철학,논리밖의 철학"	이진경 지음	새길	1993	104 이669ㅈ	
보존서고	EM24	"논리속의 철학,논리밖의 철학"	이진경 지음	새길	1993	104 이669ㅈ	
보존서고	EM11155	"논리속의 철학,논리밖의 철학"	이진경 지음	새길	1993	104 이669ㅈ	
보존서고	EM25	나는 왜 너가 아니고 나인가	시애틀 추장 외 ; 류시화 옮김	정신세계사	1994	199.1 나164ㅈ	
종합자료실	EM27	그리스 사유의 기원	장 삐에르 베르낭 지음 ; 김재홍 옮김	자유사상사	1993	160.2 베196ㄱ	
보존서고	EM28	그리스 사유의 기원	장 삐에르 베르낭 지음 ; 김재홍 옮김	자유사상사	1993	160.2 베196ㄱ	
보존서고	EM29	(일석이조)101가지 고사성어 이야기	김아리 글 ; 박향미 그림	도서출판 논장	1993	082 논838ㄴ	
보존서고	EM47673	(일석이조)101가지 고사성어 이야기	김아리 글 ; 박향미 그림	도서출판 논장	1993	082 논838ㄴ	
보존서고	EM30	(일석이조)101가지 고사성어 이야기	김아리 글 ; 박향미 그림	도서출판 논장	1993	082 논838ㄴ	
보존서고	EM47675	(일석이조)101가지 고사성어 이야기	김아리 글 ; 박향미 그림	도서출판 논장	1993	082 논838ㄴ	
보존서고	EM41	철학의 명저 20	한국철학사상연구회 지음	새길	1993	108 한624ㅊ	
종합자료실	EM45	인생의 끈	로버트 노지크 지음 ; 민승남 옮김	소학사	1993	199.1 노781ㅇ	
보존서고	EM47	이야기속의 철학	김득순 저	새날	1993	104 김448ㅇ	
보존서고	EM49	시간관리학	로타 J.자이베르트 지음 ; 박기안 옮김	미래사	1993	113.2 자142ㅅ	
종합자료실	EM53	세상에 홀로서는 너를 위하여	켄트 너번 지음 ; 정승현 옮김	한마음사	1993	199.5 너656ㅅ	
종합자료실	EM55	사슴을 쫓는 자는 토끼를 돌아보지 않는다 : 현영진의 人間經營論	현영진 저	동아출판사	1993	199.1 현313ㅅ	
